date	point1_A	point1_H	point1_V
2024-07-27 00-31-53	7.34	18.16	9.08
2024-07-27 00-52-15	7.24	17.67	8.88
2024-07-27 01-22-45	7.3	17.81	8.86
2024-07-27 01-53-14	7.32	17.74	8.75
2024-07-27 02-23-43	7.2	17.42	8.67
2024-07-27 02-54-14	7.25	17.49	8.77
2024-07-27 03-24-44	7.41	18.14	9.01
2024-07-27 03-55-14	7.35	18.05	9.1
2024-07-27 04-25-44	7.47	17.72	8.96
2024-07-27 04-56-14	7.01	16.98	8.39
2024-07-27 05-26-45	6.99	16.77	8.18
2024-07-27 05-57-14	6.78	16.15	7.95
2024-07-27 06-27-44	6.91	16.71	8.31
2024-07-27 06-58-14	6.75	16.12	8.01
2024-07-27 07-28-44	6.92	16.6	8.2
2024-07-27 07-59-14	7.14	17.35	8.52
2024-07-27 08-29-44	6.96	16.68	8.3
2024-07-27 09-00-14	6.59	16	7.98
2024-07-27 09-30-43	6.82	16.55	8.16
2024-07-27 10-01-14	6.8	16.25	8.18
2024-07-27 10-31-44	6.97	16.66	8.26
2024-07-27 11-02-14	6.89	16.4	8.15
2024-07-27 11-32-44	6.81	16.35	7.98
2024-07-27 12-03-13	6.68	16.13	8.03
2024-07-27 12-31-52	6.84	16.41	8.17
2024-07-27 12-33-44	6.9	16.63	8.21
2024-07-27 13-04-13	7.01	16.66	8.29
2024-07-27 13-34-44	7.66	18.63	9.3
2024-07-27 14-05-13	7.64	18.13	9.18
2024-07-27 14-35-43	7.77	18.75	9.57
2024-07-27 15-06-13	7.67	18.39	9.26
2024-07-27 15-36-43	8.3	19.83	10.06
2024-07-27 16-07-13	8.04	19.2	9.81
2024-07-27 16-37-44	8.12	19.43	9.92
2024-07-27 17-08-13	8.3	19.19	9.88
2024-07-27 17-38-43	8.32	19.36	9.9
2024-07-27 18-09-14	8.66	20.29	10.27
2024-07-27 18-39-44	8.51	20.31	10.28
2024-07-27 19-10-13	8.57	20.57	10.45
2024-07-27 19-40-43	8.57	20.54	10.52
2024-07-27 20-11-14	9	20.68	10.59
2024-07-27 20-41-43	9.05	21.27	10.89
2024-07-27 21-12-13	8.84	21	10.66
2024-07-27 21-42-42	9.45	21.73	11.17
2024-07-27 22-13-12	9.37	21.39	11.08
2024-07-27 22-43-42	9.27	21.45	11.12
2024-07-27 23-14-13	9.16	21.48	11.13
2024-07-27 23-44-42	9.82	22.29	11.51
2024-07-28 00-15-12	9.48	22.34	11.61
2024-07-28 00-31-51	9.93	22.53	11.68
2024-07-28 00-45-43	9.66	21.37	11.15
2024-07-28 01-16-13	9.64	21.78	11.35
2024-07-28 01-46-42	9.77	21.74	11.39
2024-07-28 02-17-13	9.74	21.88	11.53
2024-07-28 02-47-43	9.74	22.44	11.76
2024-07-28 03-18-13	9.82	22.59	11.9
2024-07-28 03-48-43	8.98	21.21	10.86
2024-07-28 04-19-12	9	20.57	10.71
2024-07-28 04-49-42	8.96	21.21	10.87
2024-07-28 05-20-13	9.31	21.21	10.97
2024-07-28 05-50-43	9.15	21.13	10.93
2024-07-28 06-21-12	9.25	21.46	11.03
2024-07-28 06-51-42	9.31	21.29	11
2024-07-28 07-22-13	8.96	20.53	10.6
2024-07-28 07-52-42	9.16	21.53	11.06
2024-07-28 08-23-12	9.21	21.28	10.92
2024-07-28 08-53-41	8.93	21.22	10.92
2024-07-28 09-24-12	9.13	20.66	10.77
2024-07-28 09-54-43	9.9	23.01	12.08
2024-07-28 10-25-12	10.4	23.61	12.33
2024-07-28 11-16-41	17.1	39.01	18.06
2024-07-28 11-47-12	9.01	21.66	11.27
2024-07-28 12-17-42	9.38	22.41	11.74
2024-07-28 12-31-51	9.37	21.84	11.53
2024-07-28 12-48-12	9.36	22.24	11.74
2024-07-28 13-18-42	9.26	22.02	11.66
2024-07-28 13-49-12	9.14	21.54	11.37
2024-07-28 14-19-41	9.45	22.01	11.65
2024-07-28 14-50-11	9.36	21.74	11.59
2024-07-28 15-20-41	9.47	22.62	11.97
2024-07-28 15-51-12	9.93	22.6	12.04
2024-07-28 16-21-41	9.92	23.29	12.34
2024-07-28 16-52-12	10.01	22.88	12.26
2024-07-28 17-22-41	10.07	22.99	12.27
2024-07-28 17-53-11	9.53	22.42	11.9
2024-07-28 18-23-42	9.88	23.08	12.31
2024-07-28 18-54-11	9.86	23.1	12.33
2024-07-28 19-24-41	9.83	23.18	12.37
2024-07-28 19-55-11	10.05	23.03	12.31
2024-07-28 20-25-42	9.7	22.78	12.24
2024-07-28 20-56-11	9.96	23.21	12.36
2024-07-28 21-26-41	9.65	22.74	12.22
2024-07-28 21-57-11	9.3	22.07	11.78
2024-07-28 22-27-41	9.67	22.85	12.16
2024-07-28 22-58-11	9.71	22.51	12.02
2024-07-28 23-28-42	9.82	23.12	12.31
2024-07-28 23-59-10	9.85	23.42	12.41
2024-07-29 00-29-41	10.11	23.47	12.51
2024-07-29 00-31-49	10.04	23.04	12.31
2024-07-29 01-00-11	10.06	22.84	12.26
2024-07-29 01-30-41	10.01	23.66	12.56
2024-07-29 02-01-10	10.12	23.28	12.43
2024-07-29 02-31-41	10.35	23.05	12.4
2024-07-29 03-02-10	10.05	23.13	12.29
2024-07-29 12-31-48	4.67	11.37	5.32
2024-07-30 00-31-46	4.18	9.65	4.55
2024-07-30 01-33-39	5.52	13.53	6.24
2024-07-30 02-04-09	5.7	14.05	6.47
2024-07-30 02-36-08	5.67	14.07	6.46
2024-07-30 03-06-38	5.74	14.35	6.64
2024-07-30 03-37-09	5.89	14.5	6.75
2024-07-30 04-08-09	5.86	14.49	6.69
2024-07-30 04-38-39	5.8	14.29	6.72
2024-07-30 05-09-08	5.64	14.03	6.55
2024-07-30 05-39-38	5.75	14.29	6.68
2024-07-30 06-10-09	5.64	14.11	6.58
2024-07-30 06-40-39	0.97	15.16	7.07
2024-07-30 07-11-08	5.89	14.64	6.8
2024-07-30 07-41-38	6.03	15.08	7.05
2024-07-30 08-12-08	6.03	15.14	6.97
2024-07-30 08-42-38	5.86	14.55	6.71
2024-07-30 09-13-07	5.84	14.69	6.82
2024-07-30 09-43-37	5.78	14.44	6.76
2024-07-30 10-14-08	6.06	15.06	7.04
2024-07-30 10-44-38	5.93	14.8	6.91
2024-07-30 11-15-08	6.07	15.22	7.13
2024-07-30 11-45-39	6.21	15.58	7.29
2024-07-30 12-16-09	5.89	14.76	6.92
2024-07-30 12-31-46	6.08	15.25	7.1
2024-07-30 12-46-38	6	14.96	6.97
2024-07-30 13-17-07	6.13	15.38	7.09
2024-07-30 13-47-38	6.4	16.07	7.53
2024-07-30 14-18-08	6.01	14.96	7.04
2024-07-30 14-48-38	6.06	15.11	7.02
2024-07-30 15-19-08	6.06	15.19	7.1
2024-07-30 15-49-38	5.99	15.05	7.08
2024-07-30 16-20-07	6.25	15.53	7.28
2024-07-30 16-50-38	6.22	15.71	7.32
2024-07-30 17-21-08	6.25	15.78	7.33
2024-07-30 17-51-38	6.16	15.63	7.31
2024-07-30 18-22-08	6.23	15.76	7.32
2024-07-30 18-52-37	6.13	15.27	7.08
2024-07-30 19-23-07	6.37	15.99	7.44
2024-07-30 19-53-38	6.47	16.32	7.66
2024-07-30 20-24-08	6.35	16.04	7.52
2024-07-30 20-54-38	6.02	15.09	7
2024-07-30 21-25-08	6.32	15.98	7.43
2024-07-30 21-55-37	6.24	15.81	7.35
2024-07-30 22-26-08	6.42	16.36	7.68
2024-07-30 22-56-38	6.08	15.32	7.12
2024-07-30 23-27-08	6.05	15	7.09
2024-07-30 23-57-37	5.95	14.96	7.04
2024-07-31 00-31-45	0.49	0.49	0.33
2024-07-31 12-31-44	5.05	12.34	5.62
2024-07-31 14-09-36	5.46	13.52	6.08
2024-07-31 14-47-36	5.28	13.26	6.07
2024-07-31 15-20-36	5.29	13.19	6.06
2024-07-31 16-37-06	5.33	13.34	6.14
2024-07-31 17-09-06	5.57	13.8	6.33
2024-07-31 17-44-36	5.52	13.58	6.23
2024-08-01 00-31-43	4.86	11.65	5.32
2024-08-01 12-31-42	4.77	11.09	5.01
2024-08-01 13-41-05	5.54	13.29	5.99
2024-08-01 14-12-35	6.02	14.43	6.64
2024-08-01 20-30-34	5.29	13.22	6.1
2024-08-01 21-35-34	5.39	13.06	5.97
2024-08-01 22-10-04	5.61	14.11	6.57
2024-08-01 22-44-05	5.18	13.04	6.03
2024-08-01 23-15-35	5.31	13.45	6.24
2024-08-01 23-53-33	5.28	13.08	6.1
2024-08-02 00-31-42	5.29	12.96	6.01
2024-08-02 00-38-34	5.35	13.44	6.22
2024-08-02 01-13-04	5.46	13.45	6.21
2024-08-02 01-53-04	5.35	13.73	6.45
2024-08-02 02-24-04	5.52	13.79	6.48
2024-08-02 03-07-34	5.18	13.24	6.08
2024-08-02 03-38-04	5.74	14.25	6.68
2024-08-02 04-08-33	5.49	13.65	6.38
2024-08-02 04-40-03	5.43	14.03	6.54
2024-08-02 05-10-33	5.37	13.83	6.47
2024-08-02 05-41-03	5.54	14.49	6.78
2024-08-02 06-11-33	5.83	15.07	7.05
2024-08-02 06-42-02	6	15.32	7.32
2024-08-02 07-12-33	5.85	15.36	7.34
2024-08-02 07-43-03	5.78	15.1	7.31
2024-08-02 08-13-33	5.84	15.34	7.38
2024-08-02 08-44-03	6.07	15.56	7.5
2024-08-02 09-14-33	5.9	15.31	7.35
2024-08-02 09-45-32	13.2	32.98	15.26
2024-08-02 10-16-12	6.45	17.26	8.35
2024-08-02 10-46-42	6.38	16.84	8.2
2024-08-02 11-17-12	6.16	16.2	7.89
2024-08-02 11-47-43	6.21	16.57	8.01
2024-08-02 12-18-12	6.05	16	7.81
2024-08-02 12-31-50	6.12	16.27	7.88
2024-08-02 12-48-42	6.33	16.37	8.02
2024-08-02 13-19-12	6.04	16.01	7.89
2024-08-02 13-49-41	6.37	16.6	8.09
2024-08-02 14-20-12	6.15	16.21	7.9
2024-08-02 14-50-42	6.31	16.32	8.09
2024-08-02 15-21-12	6.41	16.62	8.19
2024-08-02 15-51-42	6.37	16.59	8.08
2024-08-02 16-22-13	6.51	16.85	8.24
2024-08-02 16-52-41	6.47	16.87	8.26
2024-08-03 00-31-50	3.72	8.21	3.71
2024-08-03 12-28-11	9.12	22.55	10.83
2024-08-03 12-31-50	5.79	14.39	7.24
2024-08-03 12-58-41	5.66	14.08	7.07
2024-08-03 13-29-12	5.64	14.07	7.15
2024-08-03 13-59-41	5.83	14.95	7.57
2024-08-03 14-30-11	5.86	14.61	7.44
2024-08-03 15-00-42	6.1	15.27	7.75
2024-08-03 15-31-12	6.15	15.23	7.72
2024-08-03 16-01-42	6.01	15.25	7.64
2024-08-03 16-32-11	6.18	15.64	7.8
2024-08-03 17-02-42	6.21	15.68	7.87
2024-08-03 17-33-12	6.17	15.51	7.75
2024-08-03 18-04-10	5.85	14.57	7.22
2024-08-03 18-35-12	5.9	14.47	7.2
2024-08-03 19-06-11	5.86	14.77	7.35
2024-08-03 19-36-42	5.81	14.49	7.29
2024-08-03 20-07-11	6.13	15.31	7.64
2024-08-04 00-31-50	4.52	11.57	5.66
2024-08-04 00-59-10	5.25	13.9	6.91
2024-08-04 01-29-41	5.96	15.76	7.85
2024-08-04 02-00-11	6.1	16.09	8.1
2024-08-04 02-30-42	6.51	17.16	8.61
2024-08-04 03-01-11	7.09	18.97	9.55
2024-08-04 03-31-41	7.38	19.79	9.95
2024-08-04 04-02-10	7.79	20.9	10.6
2024-08-04 04-32-40	7.92	21.29	10.76
2024-08-04 05-03-11	8.28	22.34	11.23
2024-08-04 05-33-40	8.34	22.59	11.45
2024-08-04 06-04-11	9.33	24.9	12.51
2024-08-04 06-34-41	9.62	25.7	12.97
2024-08-04 07-05-11	9.44	25.74	13.06
2024-08-04 07-35-41	9.84	26.24	13.34
2024-08-04 08-06-10	10.05	27.18	13.91
2024-08-04 08-36-41	9.74	25.92	13.26
2024-08-04 09-07-11	10.45	27.54	14.08
2024-08-04 09-37-40	10.48	27.12	13.9
2024-08-04 10-08-10	10.73	27.86	14.32
2024-08-04 10-38-41	10.64	27.68	14.28
2024-08-04 12-31-48	0.43	0.65	0.33
2024-08-04 12-55-40	21.76	49.99	23.88
2024-08-04 13-26-11	12.48	32.02	16.6
2024-08-04 13-56-41	12.32	31.2	16.31
2024-08-04 14-27-10	12.17	30.58	16.01
2024-08-04 14-57-40	12.26	30.58	16.13
2024-08-04 15-28-11	12.3	30.4	15.98
2024-08-04 15-58-40	13.03	31.56	16.57
2024-08-04 16-29-10	12.73	30.87	16.39
2024-08-04 16-59-40	13.43	32.03	16.93
2024-08-04 17-30-10	13.64	32.23	17
2024-08-04 18-00-40	14.36	33.72	17.77
2024-08-04 18-31-09	14.01	33.11	17.45
2024-08-04 19-01-40	14.7	33.93	17.79
2024-08-04 19-32-10	14.98	35.06	18.25
2024-08-04 20-02-40	15.46	35.27	18.35
2024-08-04 20-33-09	15.65	35.66	18.61
2024-08-04 21-03-39	15.31	35.65	18.71
2024-08-04 21-34-09	15.34	35.64	18.68
2024-08-04 22-04-39	15.99	36.67	19.12
2024-08-04 22-35-10	15.42	36.29	18.97
2024-08-04 23-55-09	24.99	54.18	22.04
2024-08-05 00-25-39	15.3	36.6	19.05
2024-08-05 00-31-48	15.47	36.51	19.13
2024-08-05 00-56-10	16.24	37.95	19.96
2024-08-05 01-26-39	16.75	38.31	19.9
2024-08-05 01-57-09	16.73	38.52	19.94
2024-08-05 02-27-39	16.96	38.91	19.72
2024-08-05 02-58-09	17.08	39.73	20.09
2024-08-05 03-28-39	16.76	38.89	19.91
2024-08-05 03-59-09	17.21	39.77	20.57
2024-08-05 04-29-39	17.34	39.53	20.3
2024-08-05 05-00-10	17.17	39.65	20.3
2024-08-05 05-30-39	17.23	39.64	20.21
2024-08-05 06-01-09	17.27	40.42	20.71
2024-08-05 06-31-38	17.18	39.48	20.25
2024-08-05 07-02-09	17.49	39.57	20.21
2024-08-05 07-32-38	17.27	39.52	20.34
2024-08-05 08-03-09	17.21	39.93	20.72
2024-08-05 08-33-39	17.34	39.7	20.69
2024-08-05 09-04-08	17.79	40.17	20.81
2024-08-05 09-34-38	17.76	40.7	20.97
2024-08-05 10-05-09	17.76	41.23	21.11
2024-08-05 10-35-39	17.86	40.86	21.18
2024-08-05 11-06-09	17.62	40.73	20.91
2024-08-05 11-36-38	18.18	41.68	21.33
2024-08-05 12-07-09	17.77	40.86	21
2024-08-05 12-31-47	18.16	41.16	21.04
2024-08-05 12-37-38	17.91	41.76	21.17
2024-08-05 13-08-08	18.25	42.29	21.53
2024-08-05 13-38-38	18.46	42.15	21.27
2024-08-05 14-09-09	18.61	43.37	21.98
2024-08-05 14-39-38	18.39	42.98	21.58
2024-08-05 15-10-08	18.3	42.81	21.36
2024-08-05 15-40-38	18.65	43.01	21.59
2024-08-05 16-11-08	18.6	43.15	21.52
2024-08-05 16-41-38	18.44	42.69	21.42
2024-08-05 17-12-07	18.98	43.18	21.68
2024-08-05 17-42-38	18.56	42.72	21.37
2024-08-05 18-13-08	18.93	43.2	21.64
2024-08-05 18-43-38	18.73	43.01	21.65
2024-08-05 19-14-08	18.59	42.87	21.62
2024-08-05 19-44-37	18.45	42.29	21.11
2024-08-05 20-15-07	18.72	43.47	21.64
2024-08-05 20-45-38	18.9	42.84	21.59
2024-08-05 21-16-07	18.88	42.64	21.71
2024-08-05 21-46-37	18.51	42.65	21.73
2024-08-05 22-17-07	18.72	43.22	21.52
2024-08-05 22-47-38	18.6	43.11	21.87
2024-08-05 23-18-08	18.9	43.46	21.62
2024-08-05 23-48-38	18.62	43.11	21.85
2024-08-06 00-19-06	18.65	42.71	21.79
2024-08-06 00-31-45	18.53	42.61	21.61
2024-08-06 00-49-37	18.54	42.95	21.8
2024-08-06 01-20-07	18.64	43.37	21.78
2024-08-06 01-50-38	18.59	43.18	21.84
2024-08-06 02-21-08	18.86	43.56	21.9
2024-08-06 02-51-37	19.28	44.01	22.24
2024-08-06 03-22-06	18.95	43.44	21.87
2024-08-06 03-52-37	19.2	43.41	21.76
2024-08-06 04-23-07	19.22	44.68	22.4
2024-08-06 04-53-36	19.16	44.3	22.42
2024-08-06 05-24-07	19.23	44.56	22.43
2024-08-06 05-54-37	19.69	44.68	22.51
2024-08-06 06-25-07	19.37	44.19	22.23
2024-08-06 06-55-36	19.32	44.53	22.23
2024-08-06 07-26-06	19.61	45.63	22.91
2024-08-06 07-56-37	19.81	45.72	22.97
2024-08-06 08-27-06	19.61	45.83	23.07
2024-08-06 08-57-37	19.67	45.09	22.65
2024-08-06 09-28-06	19.19	45.14	22.65
2024-08-06 09-58-37	19.66	45.35	23.03
2024-08-06 10-29-07	19.41	45.19	22.85
2024-08-06 10-59-36	19.2	44.78	22.54
2024-08-06 11-30-06	19.12	44.31	22.59
2024-08-06 12-00-35	19.48	44.53	22.5
2024-08-06 12-31-06	19.2	44.53	22.46
2024-08-06 12-31-44	19.2	44.69	22.85
2024-08-06 13-01-36	19.34	44.9	23.08
2024-08-06 13-32-05	18.93	44.13	22.23
2024-08-06 14-02-35	19	43.97	22.15
2024-08-06 14-33-06	19.21	44.47	22.45
2024-08-06 15-03-36	19.22	44.18	22.32
2024-08-06 15-34-06	19.45	44.3	22.46
2024-08-06 16-04-36	19.22	44.27	22.59
2024-08-06 16-35-05	19.2	44.84	22.51
2024-08-06 17-05-35	19.2	43.97	21.92
2024-08-06 17-36-05	19.43	44.07	22.26
2024-08-06 18-06-36	19.24	44.39	22.23
2024-08-06 18-37-06	19.32	44.6	22.32
2024-08-06 19-07-36	19.45	45.17	22.51
2024-08-06 19-38-05	19.22	44.77	22.56
2024-08-06 20-08-35	19.19	44.71	22.49
2024-08-06 20-39-06	19.08	44.56	22.56
2024-08-06 21-09-36	19.54	44.98	22.97
2024-08-06 21-41-36	11.54	22.36	9.19
2024-08-06 22-12-06	19.43	45.15	22.72
2024-08-06 22-42-35	19.78	45.14	22.88
2024-08-06 23-13-06	19.54	45	22.76
2024-08-06 23-43-36	19.6	45.33	22.81
2024-08-07 00-14-05	19.86	45.78	23.15
2024-08-07 00-31-43	19.58	45.66	23.19
2024-08-07 00-44-35	19.69	45.41	22.82
2024-08-07 01-15-05	19.59	45.65	22.94
2024-08-07 01-45-35	19.57	45.79	22.7
2024-08-07 02-16-05	19.75	45.39	22.96
2024-08-07 02-46-36	19.48	45.74	22.93
2024-08-07 03-17-06	20.03	45.84	22.94
2024-08-07 03-47-35	19.71	45.66	22.6
2024-08-07 04-18-05	19.8	45.97	23.06
2024-08-07 04-48-35	19.75	45.53	22.7
2024-08-07 05-19-05	19.93	46.16	22.72
2024-08-07 05-49-35	19.74	46.12	23.21
2024-08-07 06-20-05	19.65	46.19	23.18
2024-08-07 06-50-35	19.63	45.66	22.85
2024-08-07 07-21-05	19.93	46.43	23.3
2024-08-07 07-51-35	20.29	48.29	24.31
2024-08-07 08-22-05	20.24	48.29	24.49
2024-08-07 08-52-36	20.08	47.99	23.76
2024-08-07 09-23-07	20.28	47.61	23.9
2024-08-07 09-53-38	19.95	47.99	24.24
2024-08-07 10-24-08	20.31	48.13	24.47
2024-08-07 10-54-37	20.26	48.41	24.44
2024-08-07 11-25-07	20.36	48.11	23.97
2024-08-07 11-55-37	20.36	48.17	24
2024-08-07 12-26-08	20.46	48.8	24.64
2024-08-07 12-31-45	20.37	48.89	24.38
2024-08-07 12-56-36	20.26	47.67	23.93
2024-08-07 13-27-07	20.65	49.07	24.24
2024-08-07 13-57-38	20.06	48.36	24.09
2024-08-07 14-28-08	20.55	48.56	24.32
2024-08-07 14-58-36	20.55	49.08	24.51
2024-08-07 15-29-06	20.54	48.32	24.04
2024-08-07 15-59-36	20.33	48.34	23.85
2024-08-07 16-30-07	20.25	48.49	23.99
2024-08-07 17-00-36	20.59	48.46	24.2
2024-08-07 17-31-06	20.43	48.13	24.18
2024-08-07 18-01-37	20.36	48.59	24.48
2024-08-07 18-32-07	20.28	47.84	24.17
2024-08-07 19-02-37	20.57	48.03	24.06
2024-08-07 19-33-06	20.54	47.96	23.94
2024-08-07 20-03-37	21.06	49.73	24.95
2024-08-07 20-34-07	20.53	48.7	24.1
2024-08-07 21-04-36	20.89	49.29	24.31
2024-08-07 21-35-06	20.54	48.29	24.21
2024-08-07 22-05-36	20.53	48.36	24.22
2024-08-07 22-36-07	20.67	48.56	24.33
2024-08-07 23-06-36	20.47	48.96	24.44
2024-08-07 23-37-06	20.38	48.48	24.51
2024-08-08 00-07-36	20.56	48.04	24.22
2024-08-08 00-31-45	20.73	48.36	24.32
2024-08-08 00-38-07	20.47	48.65	24.43
2024-08-08 01-08-35	20.57	48.92	24.47
2024-08-08 01-39-06	20.88	48.96	24.62
2024-08-08 02-09-35	20.44	48.47	24.58
2024-08-08 02-40-06	20.26	48.14	24.27
2024-08-08 03-10-35	20.46	47.85	24.41
2024-08-08 03-41-06	20.16	47.86	24.29
2024-08-08 04-11-35	20.27	47.74	24.32
2024-08-08 04-42-06	20.3	47.8	24.13
2024-08-08 05-12-35	20.26	47.92	24.33
2024-08-08 05-43-06	20.81	48.77	24.84
2024-08-08 06-13-35	20.42	48.01	24.28
2024-08-08 06-44-05	20.31	47.96	24.04
2024-08-08 07-14-36	20.23	47.22	23.95
2024-08-08 07-45-06	20.64	48.9	24.15
2024-08-08 08-15-35	20.63	49.21	24.4
2024-08-08 08-46-05	20.76	48.76	24.45
2024-08-08 09-16-36	21.01	48.79	23.9
2024-08-08 09-47-06	20.85	49.28	24.66
2024-08-08 10-17-35	20.62	48.71	24.19
2024-08-08 10-48-05	20.81	48.46	24.22
2024-08-08 11-18-34	21.31	50.23	24.65
2024-08-08 11-49-06	21.28	50.09	24.88
2024-08-08 12-19-35	21.23	49.96	24.93
2024-08-08 12-31-43	20.93	48.91	24.37
2024-08-08 12-50-05	21.04	49.64	24.86
2024-08-08 13-20-36	21.11	49.08	24.37
2024-08-08 13-51-05	21.11	49.52	24.63
2024-08-08 14-21-35	20.97	49.02	24.54
2024-08-08 14-52-04	20.78	48.62	24.22
2024-08-08 15-22-35	20.9	49.49	24.5
2024-08-08 15-53-04	20.9	49.16	24.16
2024-08-08 16-23-35	21.25	50.21	24.87
2024-08-08 16-54-05	20.99	48.87	24.36
2024-08-08 17-24-34	21.09	49.8	24.26
2024-08-08 17-55-04	21.27	49.41	24.58
2024-08-08 18-25-35	20.97	49.78	24.43
2024-08-08 18-56-04	20.93	49.55	24.84
2024-08-08 19-26-34	21.33	49.74	24.95
2024-08-08 19-57-03	21.02	49.68	24.83
2024-08-08 20-27-35	21.26	49.79	24.42
2024-08-08 20-58-05	21.06	49.95	24.21
2024-08-08 21-28-35	21.09	49.43	24.73
2024-08-08 21-59-04	21.89	51.23	25.18
2024-08-08 22-29-35	21.23	50.45	24.88
2024-08-08 23-00-05	21.2	50.16	24.83
2024-08-08 23-30-33	21.39	49.89	24.74
2024-08-09 00-01-04	21.74	50.33	24.72
2024-08-09 00-31-34	21.52	50.19	24.28
2024-08-09 00-31-45	21.7	50.54	25.09
2024-08-09 01-02-05	21.35	50.28	24.85
2024-08-09 01-32-34	21.45	49.94	24.29
2024-08-09 02-03-04	21.23	49.97	24.61
2024-08-09 02-33-33	21.28	49.67	24.59
2024-08-09 03-04-04	21.96	51.15	25.5
2024-08-09 03-34-34	22.15	51.7	25.2
2024-08-09 04-05-03	21.8	51.9	25.69
2024-08-09 04-35-34	21.75	50.48	24.83
2024-08-09 05-06-04	21.24	49.16	24.09
2024-08-09 05-36-34	21.62	48.9	24.55
2024-08-09 06-07-04	21.38	50.12	24.99
2024-08-09 06-37-34	21.45	50.05	24.86
2024-08-09 07-08-04	21.57	50.52	24.96
2024-08-09 07-38-33	21.58	49.54	24.22
2024-08-09 08-09-04	21.78	50.51	24.99
2024-08-09 08-39-33	21.35	50.33	24.61
2024-08-09 09-10-04	21.64	51.39	25.45
2024-08-09 09-40-33	21.59	50.54	25.14
2024-08-09 10-11-03	21.71	50.88	24.89
2024-08-09 10-41-34	21.19	50.17	24.25
2024-08-09 11-12-02	21.65	50.51	24.71
2024-08-09 11-42-34	21.42	50.32	25.15
2024-08-09 12-13-02	21.71	51.43	24.45
2024-08-09 12-31-42	21.88	50.99	25.21
2024-08-09 12-43-34	21.97	51.81	25.29
2024-08-09 13-14-03	21.78	51.51	25.21
2024-08-09 13-44-33	22.02	51.39	25.2
2024-08-09 14-15-03	21.65	51.27	24.67
2024-08-09 14-45-33	21.88	51.89	25.45
2024-08-09 15-16-03	21.91	51.61	24.77
2024-08-09 15-46-33	21.83	51.9	25.01
2024-08-09 16-17-02	22.14	51.97	24.59
2024-08-09 16-47-33	22.15	52.21	24.79
2024-08-09 17-18-03	22.2	51.76	24.48
2024-08-09 17-48-33	22.04	51.03	24.59
2024-08-09 18-19-03	21.69	51.02	24.2
2024-08-09 18-49-32	21.86	50.93	24.73
2024-08-09 19-20-03	21.49	51.13	24.73
2024-08-09 19-50-32	21.59	50.52	24.2
2024-08-09 20-21-02	22.24	51.51	24.45
2024-08-09 20-51-33	22.6	52.53	24.57
2024-08-09 21-22-03	23.61	55.16	26.56
2024-08-09 21-52-32	24.01	56.1	26.56
2024-08-09 22-23-03	24.03	56.22	26.84
2024-08-09 22-53-33	23.83	55.93	26.96
2024-08-09 23-24-02	23.8	55.76	26.25
2024-08-09 23-54-32	23.62	54.62	25.19
2024-08-10 00-25-02	24.01	55.66	26.4
2024-08-10 00-31-39	24.02	55.73	26.11
2024-08-10 00-55-32	23.58	55.33	26.26
2024-08-10 01-26-02	23.71	55.48	26.11
2024-08-10 01-56-33	24.39	55.33	25.59
2024-08-10 02-27-02	24.5	56.57	26.78
2024-08-10 02-57-32	24.33	55.89	26.41
2024-08-10 03-28-02	24.21	55.31	25.84
2024-08-10 03-58-32	24.4	55.92	26.05
2024-08-10 04-29-02	24.61	55.82	25.41
2024-08-10 04-59-31	24.16	56.01	25.93
2024-08-10 05-30-02	24.46	56.41	25.81
2024-08-10 06-00-31	24.09	55.68	25.65
2024-08-10 06-31-01	24.16	55.54	25.38
2024-08-10 07-01-31	24.13	55.28	25.64
2024-08-10 12-02-31	41.79	93.74	35.94
2024-08-10 12-31-41	1.78	3.17	18.22
2024-08-10 12-33-02	28.76	58.63	23.44
2024-08-10 13-03-33	23.43	54.99	26.21
2024-08-10 13-34-02	23.34	54.67	26.35
2024-08-10 14-31-02	15.03	29.91	12.7
2024-08-10 15-01-33	22.9	53.12	25.93
2024-08-10 15-32-02	22.68	53.52	25.35
2024-08-10 22-26-31	3.44	1.87	15.2
2024-08-10 22-57-01	23.23	54.12	25.94
2024-08-10 23-27-31	23.76	55.24	26.92
2024-08-10 23-58-01	22.72	52.84	25.44
2024-08-11 00-28-31	22.81	53.48	26.02
2024-08-11 00-31-39	22.77	52.89	25.7
2024-08-11 00-59-01	23.06	53.4	26.24
2024-08-11 01-29-31	22.78	53.21	26.07
2024-08-11 02-00-01	22.49	52.8	26.07
2024-08-11 02-30-31	22.9	54.34	26.91
2024-08-11 03-01-01	22.75	53.5	26.25
2024-08-11 03-31-30	22.63	53.78	26.54
2024-08-11 04-02-00	22.61	53.27	26.46
2024-08-11 04-32-30	22.94	53.87	26.09
2024-08-11 05-03-01	22.72	53.59	26.37
2024-08-11 05-33-30	22.97	53.86	26.79
2024-08-11 06-04-00	22.66	53.49	26.69
2024-08-11 06-34-30	22.95	53.77	26.95
2024-08-11 07-05-01	22.66	53.33	26.97
2024-08-11 07-35-31	22.81	53.91	26.61
2024-08-11 08-06-00	22.74	52.99	26.12
2024-08-11 08-36-30	22.64	53.26	26.7
2024-08-11 09-07-00	22.87	53.36	25.86
2024-08-11 09-37-31	22.74	53.15	26.08
2024-08-11 10-08-00	22.56	52.73	26.27
2024-08-11 10-38-31	22.46	52.93	26.28
